Tokenizing Dataset
Tokenizing Dataset
512 11311 23844
512 7154 23844
512 12130 23844
512 23413 23844
512 15952 23844
512 3308 23844
512 3018 23844
512 7462 23844
512 6032 23844
512 2954 23844
512 8679 23844
512 2224 23844
512 11463 23844
512 17041 23844
512 22576 23844
512 6661 23844
512 8226 23844
512 7690 23844
512 9769 23844
512 1637 23844
512 1320 23844
512 19766 23844
512 5445 23844
512 16192 23844
512 10566 23844
512 21344 23844
512 20008 23844
512 11321 23844
512 18619 23844
512 2748 23844
512 11546 23844
512 22427 23844
512 10708 23844
512 19009 23844
512 11235 23844
512 13702 23844
512 17288 23844
512 18195 23844
512 18654 23844
512 3759 23844
512 21726 23844
512 23463 23844
512 9900 23844
512 17425 23844
512 15185 23844
512 973 23844
512 20079 23844
512 22042 23844
512 21279 23844
512 14558 23844
512 8194 23844
512 4652 23844
512 19938 23844
512 2153 23844
512 14459 23844
512 5697 23844
512 7722 23844
512 2895 23844
512 17064 23844
512 20248 23844
512 4862 23844
512 18440 23844
512 13316 23844
512 10942 23844
512 22488 23844
512 12949 23844
512 21442 23844
512 4693 23844
512 2300 23844
512 10108 23844
512 22985 23844
512 5729 23844
512 19742 23844
512 3953 23844
512 9260 23844
512 23233 23844
512 17780 23844
512 5322 23844
512 18478 23844
512 1524 23844
512 17317 23844
512 16110 23844
512 7425 23844
512 216 23844
512 10118 23844
512 22981 23844
512 5073 23844
512 17532 23844
512 2045 23844
512 18301 23844
512 20397 23844
512 2223 23844
512 16894 23844
512 4568 23844
512 3365 23844
512 6727 23844
512 416 23844
512 1954 23844
512 17709 23844
512 3502 23844
512 17407 23844
512 23181 23844
512 16846 23844
512 6358 23844
512 13902 23844
512 19111 23844
512 13806 23844
512 18770 23844
512 2551 23844
512 17997 23844
512 19614 23844
512 4479 23844
512 2405 23844
512 16760 23844
512 18542 23844
512 2538 23844
512 8283 23844
512 21180 23844
512 10958 23844
512 10701 23844
512 12159 23844
512 14776 23844
512 1245 23844
512 22900 23844
512 17155 23844
512 21019 23844
512 19462 23844
512 17626 23844
512 9856 23844
512 2627 23844
512 14218 23844
512 1452 23844
512 17956 23844
512 18091 23844
512 20125 23844
512 5324 23844
512 10728 23844
512 22057 23844
512 12235 23844
512 18902 23844
512 14911 23844
512 14127 23844
512 23570 23844
512 20227 23844
512 11470 23844
512 16246 23844
512 14374 23844
512 12654 23844
512 8260 23844
512 17139 23844
512 2797 23844
512 22838 23844
512 13877 23844
512 12368 23844
512 3150 23844
512 5499 23844
512 23098 23844
512 13589 23844
512 6620 23844
512 16259 23844
512 5643 23844
512 13140 23844
512 7301 23844
512 6180 23844
512 1896 23844
512 3930 23844
512 9854 23844
512 10612 23844
512 8890 23844
512 10199 23844
512 880 23844
512 10796 23844
512 19250 23844
512 425 23844
512 3674 23844
512 6828 23844
512 5331 23844
512 12560 23844
512 15891 23844
512 276 23844
512 11848 23844
512 9523 23844
512 890 23844
512 22181 23844
512 8721 23844
512 1055 23844
512 4604 23844
512 8832 23844
512 10668 23844
512 2238 23844
512 16383 23844
512 10427 23844
512 19480 23844
512 20747 23844
512 6415 23844
512 11415 23844
512 15479 23844
512 21257 23844
512 3002 23844
512 7199 23844
512 4330 23844
512 3836 23844
512 21660 23844
512 22569 23844
512 7434 23844
512 13245 23844
512 17437 23844
512 14908 23844
512 21825 23844
512 8125 23844
512 15844 23844
512 3360 23844
512 23439 23844
512 23706 23844
512 6732 23844
512 21067 23844
512 19297 23844
512 8848 23844
512 20816 23844
512 22006 23844
512 1317 23844
512 14714 23844
512 4281 23844
512 17004 23844
512 15535 23844
512 18820 23844
512 7744 23844
512 5633 23844
512 6827 23844
512 11566 23844
512 22599 23844
512 14037 23844
512 9555 23844
512 9597 23844
512 13583 23844
512 10034 23844
512 13660 23844
512 5334 23844
512 9633 23844
512 22778 23844
512 5584 23844
512 3470 23844
512 234 23844
512 11096 23844
512 809 23844
512 11238 23844
512 15094 23844
512 3080 23844
512 4082 23844
512 20317 23844
512 9580 23844
512 23766 23844
512 10777 23844
512 8829 23844
512 1215 23844
512 8707 23844
512 11251 23844
512 19849 23844
512 13300 23844
512 9049 23844
512 17322 23844
512 12386 23844
512 4496 23844
512 1591 23844
512 841 23844
512 22760 23844
512 3617 23844
512 20082 23844
512 23384 23844
512 7329 23844
512 14309 23844
512 13323 23844
512 14680 23844
512 2915 23844
512 2664 23844
512 4786 23844
512 13967 23844
512 17688 23844
512 17552 23844
512 11132 23844
512 9305 23844
512 9136 23844
512 2799 23844
512 11014 23844
512 10754 23844
512 17335 23844
512 7376 23844
512 5043 23844
512 3809 23844
512 16255 23844
512 20133 23844
512 22456 23844
512 8799 23844
512 21463 23844
512 1584 23844
512 7156 23844
512 3783 23844
512 13935 23844
512 8559 23844
512 23354 23844
512 13136 23844
512 12625 23844
512 23571 23844
512 22015 23844
512 3337 23844
512 19056 23844
512 8541 23844
512 12265 23844
512 23206 23844
512 9253 23844
512 17914 23844
512 10056 23844
512 1333 23844
512 4420 23844
512 787 23844
512 3370 23844
512 22115 23844
512 23335 23844
512 3560 23844
512 1772 23844
512 7622 23844
512 21354 23844
512 4735 23844
512 8363 23844
512 4875 23844
512 6738 23844
512 887 23844
512 2759 23844
512 12555 23844
512 8842 23844
512 16576 23844
512 9339 23844
512 19951 23844
512 9521 23844
512 18272 23844
512 12017 23844
512 22293 23844
512 20110 23844
512 20222 23844
512 15173 23844
512 12642 23844
512 10490 23844
512 7879 23844
512 15601 23844
512 23130 23844
512 13263 23844
512 10168 23844
512 22950 23844
512 6760 23844
512 3898 23844
512 22540 23844
512 15959 23844
512 16707 23844
512 11187 23844
512 14108 23844
512 7201 23844
512 17698 23844
512 7447 23844
512 11875 23844
512 6630 23844
512 14925 23844
512 7323 23844
512 7758 23844
512 19877 23844
512 18119 23844
512 13933 23844
512 17062 23844
512 4833 23844
512 4344 23844
512 2618 23844
512 1668 23844
512 18576 23844
512 4896 23844
512 6575 23844
512 2443 23844
512 11507 23844
512 13225 23844
512 3911 23844
512 12206 23844
512 19664 23844
512 1193 23844
512 7056 23844
512 2399 23844
512 6810 23844
512 17188 23844
512 4125 23844
512 2498 23844
512 6234 23844
512 16820 23844
512 14882 23844
512 6885 23844
512 18074 23844
512 18560 23844
512 1414 23844
512 19961 23844
512 15980 23844
512 4946 23844
512 11258 23844
512 17525 23844
512 11992 23844
512 9702 23844
512 9922 23844
512 13635 23844
512 8916 23844
512 1357 23844
512 2900 23844
512 10648 23844
512 10966 23844
512 1373 23844
512 6454 23844
512 13992 23844
512 22913 23844
512 4460 23844
512 20920 23844
512 21735 23844
512 15725 23844
512 15517 23844
512 15105 23844
512 17233 23844
512 680 23844
512 22958 23844
512 15638 23844
512 12778 23844
512 9201 23844
512 22217 23844
512 14455 23844
512 361 23844
512 3634 23844
512 16798 23844
512 9220 23844
512 14870 23844
512 1760 23844
512 17415 23844
512 11145 23844
512 23077 23844
512 21158 23844
512 10424 23844
512 21078 23844
512 776 23844
512 10523 23844
512 9454 23844
512 8295 23844
512 7510 23844
512 12408 23844
512 8520 23844
512 12782 23844
512 1219 23844
512 9948 23844
512 6762 23844
512 11095 23844
512 7341 23844
512 4902 23844
512 1573 23844
512 9170 23844
512 7409 23844
512 22464 23844
512 18622 23844
512 20170 23844
512 6097 23844
512 10071 23844
512 1 23844
512 14569 23844
512 7940 23844
512 17724 23844
512 22189 23844
512 18201 23844
512 1463 23844
512 10597 23844
512 10393 23844
512 6844 23844
512 22811 23844
512 20845 23844
512 11513 23844
512 12031 23844
512 11700 23844
512 17130 23844
512 8288 23844
512 7657 23844
512 15795 23844
512 20229 23844
512 9404 23844
512 20272 23844
512 12188 23844
512 4835 23844
512 12583 23844
512 9835 23844
512 7176 23844
512 4466 23844
512 21214 23844
512 5135 23844
512 22203 23844
512 8101 23844
512 20337 23844
512 597 23844
512 18391 23844
512 20521 23844
512 6363 23844
512 3382 23844
512 9627 23844
512 12401 23844
512 10129 23844
512 14808 23844
512 11778 23844
512 23722 23844
512 6832 23844
512 2051 23844
512 14587 23844
512 18735 23844
512 7839 23844
512 4482 23844
512 21845 23844
512 17158 23844
512 13619 23844
512 5894 23844
512 15796 23844
512 20519 23844
512 10473 23844
512 6199 23844
512 2384 23844
512 17752 23844
512 14170 23844
512 14585 23844
512 17560 23844
512 7219 23844
512 3548 23844
512 5891 23844
512 23424 23844
512 424 23844
512 22211 23844
512 14332 23844
512 7430 23844
512 19103 23844
512 14412 23844
512 13455 23844
512 1410 23844
512 6460 23844
512 7932 23844
512 2564 23844
512 1487 23844
512 6930 23844
512 6369 23844
512 1829 23844
512 21253 23844
512 10630 23844
512 7264 23844
512 14831 23844
512 23144 23844
512 5067 23844
512 10148 23844
512 1678 23844
512 14297 23844
512 23538 23844
512 9876 23844
512 15360 23844
512 7683 23844
512 14468 23844
512 30 23844
512 7036 23844
512 12902 23844
512 18427 23844
512 4542 23844
512 2999 23844
512 6564 23844
512 23837 23844
512 11524 23844
512 686 23844
512 7815 23844
512 6747 23844
512 1895 23844
512 2933 23844
512 12733 23844
512 23406 23844
512 7665 23844
512 1126 23844
512 20214 23844
512 20443 23844
512 9563 23844
512 14203 23844
512 367 23844
512 703 23844
512 1486 23844
512 2938 23844
512 19797 23844
512 6644 23844
512 20420 23844
512 11248 23844
512 3677 23844
512 5934 23844
512 19715 23844
512 5674 23844
512 9296 23844
512 18808 23844
512 11158 23844
512 17235 23844
512 4005 23844
512 9764 23844
512 20207 23844
512 5156 23844
512 14784 23844
512 7671 23844
512 16344 23844
512 9752 23844
512 11974 23844
512 14979 23844
512 13659 23844
512 14883 23844
512 280 23844
512 22954 23844
512 20905 23844
512 16734 23844
512 14324 23844
512 8375 23844
512 4139 23844
512 17850 23844
512 4 23844
512 12316 23844
512 11060 23844
512 8812 23844
512 21922 23844
512 20863 23844
512 10570 23844
512 11894 23844
512 1886 23844
512 7519 23844
512 11160 23844
512 23605 23844
512 11768 23844
512 18792 23844
512 5537 23844
512 19125 23844
512 20402 23844
512 18732 23844
512 18558 23844
512 15316 23844
512 12081 23844
512 9897 23844
512 15749 23844
512 14432 23844
512 21358 23844
512 16299 23844
512 842 23844
512 22537 23844
512 14901 23844
512 23054 23844
512 5053 23844
512 4247 23844
512 5301 23844
512 19879 23844
512 10803 23844
512 19179 23844
512 18247 23844
512 377 23844
512 16437 23844
512 489 23844
512 2904 23844
512 7059 23844
512 18148 23844
512 14826 23844
512 16483 23844
512 10624 23844
512 4781 23844
512 3001 23844
512 23770 23844
512 19428 23844
512 8321 23844
512 18805 23844
512 19417 23844
512 12895 23844
512 9274 23844
512 22706 23844
512 12309 23844
512 3629 23844
512 14331 23844
512 13861 23844
512 10542 23844
512 19438 23844
512 3345 23844
512 12713 23844
512 17992 23844
512 13251 23844
512 8755 23844
512 17901 23844
512 22529 23844
512 14878 23844
512 13375 23844
512 14322 23844
512 9228 23844
512 12143 23844
512 11854 23844
512 18828 23844
512 20362 23844
512 2875 23844
512 4416 23844
512 3982 23844
512 23429 23844
512 17977 23844
512 9083 23844
512 17866 23844
512 1326 23844
512 20786 23844
512 9559 23844
512 18910 23844
512 8637 23844
512 4599 23844
512 7242 23844
512 18089 23844
512 9378 23844
512 572 23844
512 2126 23844
512 22400 23844
512 949 23844
512 13883 23844
512 21724 23844
512 3840 23844
512 15186 23844
512 16414 23844
512 23356 23844
512 4019 23844
512 9891 23844
512 12430 23844
512 1401 23844
512 22616 23844
512 20969 23844
512 8118 23844
512 16496 23844
512 21455 23844
512 7591 23844
512 16577 23844
512 13932 23844
512 1746 23844
512 1692 23844
512 11188 23844
512 19386 23844
512 22935 23844
512 19789 23844
512 4132 23844
512 23269 23844
512 10919 23844
512 7444 23844
512 6712 23844
512 13431 23844
512 19546 23844
512 15712 23844
512 4301 23844
512 4591 23844
512 19263 23844
512 6307 23844
512 8656 23844
512 14859 23844
512 8263 23844
512 23025 23844
512 17694 23844
512 16744 23844
512 4854 23844
512 1145 23844
512 617 23844
512 11972 23844
512 1840 23844
512 18569 23844
512 18291 23844
512 17882 23844
512 20808 23844
512 18106 23844
512 23169 23844
512 5375 23844
512 11888 23844
512 14727 23844
512 7172 23844
512 15203 23844
512 6456 23844
512 22636 23844
512 945 23844
512 11559 23844
512 378 23844
512 11466 23844
512 7389 23844
512 3720 23844
512 6973 23844
512 12326 23844
512 15962 23844
512 7564 23844
512 7402 23844
512 17423 23844
512 6933 23844
512 9644 23844
512 17576 23844
512 14818 23844
512 3952 23844
512 17553 23844
512 5699 23844
512 375 23844
512 1258 23844
512 12562 23844
512 20119 23844
512 10806 23844
512 20378 23844
512 11623 23844
512 23382 23844
512 12383 23844
512 6731 23844
512 18919 23844
512 16884 23844
512 6370 23844
512 23037 23844
512 4495 23844
512 16977 23844
512 17143 23844
512 2481 23844
512 15393 23844
512 12437 23844
512 3325 23844
512 4322 23844
512 19482 23844
512 12038 23844
512 16357 23844
512 23822 23844
512 21137 23844
512 12123 23844
512 1399 23844
512 18435 23844
512 19400 23844
512 4122 23844
512 17699 23844
512 3579 23844
512 12627 23844
512 23243 23844
512 23769 23844
512 12452 23844
512 8720 23844
512 6942 23844
512 18766 23844
512 4500 23844
512 5549 23844
512 17187 23844
512 6912 23844
512 20461 23844
512 289 23844
512 3151 23844
512 17871 23844
512 508 23844
512 5867 23844
512 338 23844
512 452 23844
512 3326 23844
512 13021 23844
512 13863 23844
512 9251 23844
512 2512 23844
512 12036 23844
512 23685 23844
512 16403 23844
512 8828 23844
512 20849 23844
512 11699 23844
512 19332 23844
512 22924 23844
512 7959 23844
512 12920 23844
512 22879 23844
512 1202 23844
512 15476 23844
512 22657 23844
512 10614 23844
512 15943 23844
512 10256 23844
512 2456 23844
512 21684 23844
512 17247 23844
512 14287 23844
512 414 23844
512 2736 23844
512 23113 23844
512 412 23844
512 4678 23844
512 8092 23844
512 10884 23844
512 14147 23844
512 21522 23844
512 20098 23844
512 2660 23844
512 20895 23844
512 20384 23844
512 15077 23844
512 13917 23844
512 14276 23844
512 19966 23844
512 13200 23844
512 21398 23844
512 5174 23844
512 19984 23844
512 8399 23844
512 5955 23844
512 4140 23844
512 6845 23844
512 7173 23844
512 18782 23844
512 10544 23844
512 10943 23844
512 20323 23844
512 23736 23844
512 6935 23844
512 17434 23844
512 533 23844
512 10707 23844
512 11615 23844
512 677 23844
512 13186 23844
512 3807 23844
512 14807 23844
512 21641 23844
512 12520 23844
512 6618 23844
512 15104 23844
512 8652 23844
512 16491 23844
512 14571 23844
512 3761 23844
512 21526 23844
512 10144 23844
512 22512 23844
512 14671 23844
512 3239 23844
512 21307 23844
512 23474 23844
512 10498 23844
512 12420 23844
512 14688 23844
512 16035 23844
512 22571 23844
512 12257 23844
512 9325 23844
512 731 23844
512 6294 23844
512 16292 23844
512 17655 23844
512 11930 23844
512 2961 23844
512 17344 23844
512 19997 23844
512 7971 23844
512 15901 23844
512 9767 23844
512 12883 23844
512 7131 23844
512 15525 23844
512 18573 23844
512 15275 23844
512 17046 23844
512 22083 23844
512 18307 23844
512 15281 23844
512 11396 23844
512 6339 23844
512 23782 23844
512 19159 23844
512 1897 23844
512 19211 23844
512 21001 23844
512 7102 23844
512 616 23844
512 4011 23844
512 6277 23844
512 16614 23844
512 18141 23844
512 13696 23844
512 14761 23844
512 11215 23844
512 7021 23844
512 10817 23844
512 16468 23844
512 20000 23844
512 17311 23844
512 4686 23844
512 17141 23844
512 6860 23844
512 10781 23844
512 7673 23844
512 20633 23844
512 16476 23844
512 19207 23844
512 9951 23844
512 14291 23844
512 3490 23844
512 2457 23844
512 10125 23844
512 1663 23844
512 3307 23844
512 8449 23844
512 11433 23844
512 11 23844
512 879 23844
512 3749 23844
512 4821 23844
512 9345 23844
512 6310 23844
512 17179 23844
512 23321 23844
512 794 23844
512 12115 23844
512 10997 23844
512 11632 23844
512 5663 23844
512 14273 23844
512 6128 23844
512 5290 23844
512 18438 23844
512 14936 23844
512 7648 23844
512 15157 23844
512 18748 23844
512 8065 23844
512 13373 23844
512 12061 23844
512 13257 23844
512 4115 23844
512 3569 23844
512 9647 23844
512 17923 23844
512 2729 23844
512 14861 23844
512 327 23844
512 12227 23844
512 3107 23844
512 19626 23844
512 8567 23844
512 20035 23844
512 20728 23844
512 9761 23844
512 8773 23844
512 16810 23844
512 974 23844
512 11194 23844
512 11800 23844
512 3427 23844
512 17011 23844
512 4050 23844
512 8432 23844
512 21237 23844
512 9016 23844
512 11678 23844
512 13044 23844
512 4641 23844
512 4931 23844
512 21757 23844
512 12291 23844
512 20085 23844
512 11485 23844
512 16367 23844
512 14983 23844
512 17503 23844
512 12984 23844
512 20218 23844
512 19306 23844
512 19373 23844
512 19814 23844
512 8105 23844
512 800 23844
512 3491 23844
512 3906 23844
512 18860 23844
512 22251 23844
512 132 23844
512 6447 23844
512 22600 23844
512 4345 23844
512 20124 23844
512 23072 23844
512 9417 23844
512 15783 23844
512 1363 23844
512 20446 23844
512 17081 23844
512 18610 23844
512 17641 23844
512 21395 23844
512 4932 23844
512 22623 23844
512 9612 23844
512 6797 23844
512 8826 23844
512 14284 23844
512 14584 23844
512 19135 23844
512 23055 23844
512 16022 23844
512 13082 23844
512 5069 23844
512 80 23844
512 22320 23844
512 5497 23844
512 364 23844
512 14474 23844
512 18679 23844
512 16209 23844
512 7205 23844
512 18525 23844
512 6104 23844
512 20128 23844
512 4244 23844
512 1527 23844
512 20149 23844
512 12822 23844
512 19881 23844
512 16117 23844
512 8340 23844
512 6267 23844
512 5465 23844
512 2150 23844
512 17768 23844
512 22517 23844
512 21093 23844
512 11740 23844
512 23586 23844
512 21138 23844
512 11198 23844
512 16989 23844
512 12252 23844
512 14295 23844
512 6365 23844
512 21508 23844
512 10759 23844
512 12433 23844
512 4348 23844
512 9965 23844
512 21389 23844
512 14376 23844
512 12448 23844
512 20472 23844
512 21128 23844
512 6333 23844
512 17473 23844
512 10799 23844
512 7646 23844
512 2427 23844
512 3860 23844
512 23777 23844
512 3112 23844
512 19765 23844
512 9529 23844
512 22971 23844
512 22246 23844
512 7845 23844
512 20456 23844
512 18229 23844
512 10369 23844
512 12158 23844
512 14047 23844
512 10001 23844
512 611 23844
512 19807 23844
512 18014 23844
512 16783 23844
512 6908 23844
512 20246 23844
512 16138 23844
512 8776 23844
512 19545 23844
512 21623 23844
512 17863 23844
512 13823 23844
512 11777 23844
512 20354 23844
512 22237 23844
512 2396 23844
512 8905 23844
512 2968 23844
512 14214 23844
512 14578 23844
512 13905 23844
512 153 23844
512 7978 23844
512 18559 23844
512 1372 23844
512 20369 23844
512 499 23844
512 22195 23844
512 6176 23844
512 13750 23844
512 19110 23844
512 5870 23844
512 9331 23844
512 19165 23844
512 10760 23844
512 435 23844
512 20574 23844
512 143 23844
512 17854 23844
512 6181 23844
512 10687 23844
512 16804 23844
512 4315 23844
512 750 23844
512 18823 23844
512 18556 23844
512 1179 23844
512 13956 23844
512 10983 23844
512 13013 23844
512 8087 23844
512 5728 23844
512 10167 23844
512 20770 23844
512 4171 23844
512 4176 23844
512 11133 23844
512 16605 23844
512 7322 23844
512 7337 23844
512 19454 23844
512 10386 23844
512 2286 23844
512 22637 23844
512 10655 23844
512 11159 23844
512 237 23844
512 18375 23844
512 22554 23844
512 1044 23844
512 15823 23844
512 19687 23844
512 1016 23844
512 6214 23844
512 15164 23844
512 15920 23844
512 17819 23844
512 2508 23844
512 5941 23844
512 7934 23844
512 13936 23844
512 3693 23844
512 20675 23844
512 15437 23844
512 17894 23844
512 23653 23844
512 16852 23844
512 392 23844
512 17719 23844
512 16066 23844
512 21028 23844
512 20168 23844
512 17287 23844
512 1278 23844
512 17479 23844
512 13000 23844
512 20163 23844
512 8222 23844
512 10518 23844
512 3727 23844
512 16849 23844
512 10293 23844
512 14669 23844
512 19060 23844
512 11839 23844
512 15590 23844
512 12352 23844
512 10832 23844
512 19815 23844
512 8198 23844
512 14595 23844
512 21324 23844
512 2535 23844
512 22875 23844
512 16792 23844
512 6098 23844
512 3225 23844
512 18103 23844
512 4927 23844
512 10844 23844
512 2268 23844
512 14572 23844
512 4422 23844
512 11171 23844
512 3149 23844
512 4849 23844
512 23779 23844
512 4350 23844
512 20134 23844
512 6153 23844
512 21763 23844
512 11685 23844
512 5716 23844
512 2859 23844
512 1582 23844
512 22382 23844
512 15642 23844
512 2868 23844
512 21767 23844
512 16552 23844
512 16156 23844
512 129 23844
512 492 23844
512 22381 23844
512 19823 23844
512 1371 23844
512 16871 23844
512 5197 23844
512 1638 23844
512 23456 23844
512 7560 23844
512 9677 23844
512 8753 23844
512 3563 23844
512 11864 23844
512 15284 23844
512 2920 23844
512 11228 23844
512 6954 23844
512 12814 23844
512 13734 23844
512 8525 23844
512 14042 23844
512 22931 23844
512 14956 23844
512 7800 23844
512 20018 23844
512 22429 23844
512 5779 23844
512 4435 23844
512 7427 23844
512 1988 23844
512 6699 23844
512 1799 23844
512 4576 23844
512 22155 23844
512 20600 23844
512 6205 23844
512 9070 23844
512 1221 23844
512 12502 23844
512 226 23844
512 18647 23844
512 12912 23844
512 20938 23844
512 10409 23844
512 9833 23844
512 9280 23844
512 21176 23844
512 15937 23844
512 13376 23844
512 9483 23844
512 7163 23844
512 473 23844
512 20177 23844
512 7798 23844
512 24 23844
512 13427 23844
512 4769 23844
512 9720 23844
512 21421 23844
512 21769 23844
512 4655 23844
512 11297 23844
512 5893 23844
512 23167 23844
512 2641 23844
512 21436 23844
512 21450 23844
512 1080 23844
512 5639 23844
512 8425 23844
512 11816 23844
512 11119 23844
512 16350 23844
512 16790 23844
512 20809 23844
512 22689 23844
512 15404 23844
512 19743 23844
512 236 23844
512 17020 23844
512 12664 23844
512 13968 23844
512 15873 23844
512 374 23844
512 11376 23844
512 316 23844
512 19956 23844
512 14609 23844
512 659 23844
512 21835 23844
512 10343 23844
512 6542 23844
512 7287 23844
512 13938 23844
512 1025 23844
512 1263 23844
512 15348 23844
512 20302 23844
512 19704 23844
512 20556 23844
512 10035 23844
512 10582 23844
512 10704 23844
512 13566 23844
512 2645 23844
